experiment,feature_set,model,class,precision,recall,f1-score,support
combined_strict_no_tess,full,random_forest,neutral,0.38961038961038963,0.6143344709897611,0.4768211920529801,293.0
combined_strict_no_tess,full,random_forest,happy,0.40978593272171254,0.4036144578313253,0.40667678300455234,332.0
combined_strict_no_tess,full,random_forest,sad,0.5116883116883116,0.5933734939759037,0.5495118549511855,332.0
combined_strict_no_tess,full,random_forest,angry,0.615606936416185,0.641566265060241,0.6283185840707964,332.0
combined_strict_no_tess,full,random_forest,fear,0.4685714285714286,0.2469879518072289,0.3234714003944773,332.0
combined_strict_no_tess,full,random_forest,disgust,0.45348837209302323,0.35240963855421686,0.39661016949152544,332.0
combined_strict_no_tess,full,random_forest,accuracy,0.4726062467997952,0.4726062467997952,0.4726062467997952,0.4726062467997952
combined_strict_no_tess,full,random_forest,macro avg,0.4747918951835084,0.47538104636977946,0.4635683306609195,1953.0
combined_strict_no_tess,full,random_forest,weighted avg,0.4764929083516352,0.4726062467997952,0.4633036805870381,1953.0
combined_strict_no_tess,full,extra_trees,neutral,0.37037037037037035,0.6143344709897611,0.4621309370988447,293.0
combined_strict_no_tess,full,extra_trees,happy,0.43934426229508194,0.4036144578313253,0.4207221350078493,332.0
combined_strict_no_tess,full,extra_trees,sad,0.4765432098765432,0.5813253012048193,0.5237449118046132,332.0
combined_strict_no_tess,full,extra_trees,angry,0.5566750629722922,0.6656626506024096,0.6063100137174211,332.0
combined_strict_no_tess,full,extra_trees,fear,0.4318181818181818,0.1716867469879518,0.24568965517241378,332.0
combined_strict_no_tess,full,extra_trees,disgust,0.4692982456140351,0.32228915662650603,0.3821428571428571,332.0
combined_strict_no_tess,full,extra_trees,accuracy,0.4567332309267793,0.4567332309267793,0.4567332309267793,0.4567332309267793
combined_strict_no_tess,full,extra_trees,macro avg,0.4573415554910841,0.4598187973737955,0.44012341832399987,1953.0
combined_strict_no_tess,full,extra_trees,weighted avg,0.4590783072676882,0.4567332309267793,0.4396839440627511,1953.0
combined_strict_no_tess,full,rbf_svm,neutral,0.4387254901960784,0.6109215017064846,0.5106990014265336,293.0
combined_strict_no_tess,full,rbf_svm,happy,0.4451219512195122,0.4397590361445783,0.44242424242424244,332.0
combined_strict_no_tess,full,rbf_svm,sad,0.47878787878787876,0.4759036144578313,0.4773413897280967,332.0
combined_strict_no_tess,full,rbf_svm,angry,0.6450511945392492,0.5692771084337349,0.6048,332.0
combined_strict_no_tess,full,rbf_svm,fear,0.4064327485380117,0.4186746987951807,0.4124629080118694,332.0
combined_strict_no_tess,full,rbf_svm,disgust,0.49603174603174605,0.37650602409638556,0.4280821917808219,332.0
